Šifra artikla,EAN,Cena B2B,Cena B2C,DDV,VID trenutna zaloga,VID naročena količina,VID količina za odpremo,VID razpoložljiva količina,VID naročena količina dobaviteljem,Dobavitelj zaloga,Dobavitelj naročena zaloga,Dobavitelj datum,Skladišče,Rabatna skupina artikla,Rabatna skupina ERP,Popust odprodaje %
BA.BH15.02130,5949097706110,11.95,26.11,22,30,0,0,30,0,,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH15.02200,5949097706127,40.56,40.56,22,2,0,0,2,0,500,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH15.02230,5949097706134,40.56,40.56,22,,,,,,370,,,,BA,BA,0
BA.BH15.03100,5949097706141,11.5,28.33,22,13,0,0,13,0,439,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH15.03110,5949097707919,11.5,28.33,22,19,0,0,19,0,30,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH15.03130,5949097706158,11.2,28.33,22,3,0,0,3,0,1400,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH16.03480,5949097716836,19.2,44.44,22,1,0,0,1,0,0,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH16.03580,5949097720024,76.67,76.67,22,,,,,,,,,,BA,BA,0
BA.BH16.04280,5949097716942,40.56,84.44,22,3,0,0,3,0,,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH16.04380,5949097747748,74,74,22,27,0,0,27,0,190,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH16.04381,5949097747755,74,74,22,13,0,0,13,0,325,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH16.04386,5949097747762,79,79,22,6,0,0,6,0,145,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH16.04480,5949097747779,96,96,22,31,0,0,31,0,150,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH16.04481,5949097747786,96,96,22,12,0,0,12,0,165,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH16.05280,5949097717031,34.2,77.78,22,,,,,,255,,,,VD0,VD0,0
BA.BH16.05281,5949097717055,36.08,77.78,22,,,,,,322,,,,VD0,VD0,0
BA.BH16.05380,5949097747793,79,79,22,8,0,0,8,0,99,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH16.05381,5949097747809,79,79,22,5,0,0,5,0,185,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH16.05386,5949097747816,85,85,22,7,0,0,7,0,40,,,Glavno skladišče Rakovnik 9a,BA,BA,0
