Angleska vrednost;Jezik;Prevodi v preglednici;Vrstice v preglednici;KATERA LASTNOST (Domain) za kateri prevod
antique brass;SL;antique brass | medenina antik;2226 2842;
bent;DE;gebogen | verdrehter;2464 2477;
bent;HR;savijena | uvrnut;2464 2477;
bent;SL;upognjen | zviti;2464 2477;
black;DE;Black | schwarz;98 99 100 278 343 344;
black;HR;Black | crna | crne | crni | crno;98 99 100 278 343 344;
black;SL;Black | črn | črna | črne | črni | črno;98 99 100 278 343 344;
black/alu;SL;črn/alu | črna/alu;2128 2129;
black/blue;SL;črno/moder | črno/modra;1295 1296;
black/chrome;SL;črna/krom | črno/krom;2054 2579;
black/gold;SL;črna/zlata | črno/zlata;342 2583;
black/red;HR;crn/crven | crna/crvena;2126 2127;
black/red;SL;črn/rdeč | črna/rdeča;2126 2127;
black/silver;SL;črna/srebrna | črno/srebrna;1956 2577;
black/white;SL;črna/bela | črno/bela;339 2581;
blue;HR;plav | plavi | plavo;849 851 852;
blue;SL;moder | modra | modro;849 851 852;
blue/black;HR;plava/crna | plavi/crn;2403 2909;
blue/black;SL;moder/črn | modra/črna;2403 2909;
box;HR;BOX | kutija;1526 2624;
box;SL;BOX | škatla;1526 2624;
brown;SL;rjav | rjava | rjavo;1331 1332 2021;
bulk;DE;Schüttgut | bulk;308 2736;
bulk;HR;bulk | rasuto;308 2736;
bulk;SL;bulk | rinfuza;308 2736;
bulkhead;HR;brodsko | bulkhead;2439 2442;
bulkhead;SL;bulkhead | ladijska;2439 2442;
ceiling;HR;decken | stropna | stropni;1484 1491 1493 2493;
ceiling;SL;stropna | stropni | stropnih | stropno;1484 1491 1493 2493;
ceiling light;DE;Deckenlampe | Deckenleuchte;1103 1485;
ceiling light;HR;Stropna lampa | stopna lampa;1103 1485;
ceiling light;SL;plafonjera | stropna svetilka;1103 1485;
ceiling/wall;HR;stropna/zidna | stropni/zidni;1486 1492;
ceiling/wall;SL;stropna/stenska | stropni/stenski;1486 1492;
champagne;SL;(champagne) | šampanjec;1511 2055;
chocolate;DE;Schokolade | chocolate;337 2845;
chocolate;HR;chocolate | čokoladna;337 2845;
chocolate;SL;chocolate | čokoladna;337 2845;
classic;DE;CLASSIC | klassisch;626 2471 2481 2913;
classic;HR;CLASSIC | klasik | klasični;626 2471 2481 2913;
classic;SL;CLASSIC | klasika | klasična | klasični;626 2471 2481 2913;
click;SL;klik | na klik;628 1969;
coded;HR;kodiran | kodirana;632 633 634;
coded;SL;kodiran | kodirana | kodirano;632 633 634;
combined;HR;kombinacija | kombiniran | kombinirana | kombinirano;641 643 2764 2878;
combined;SL;kombiniran | kombinirana | kombinirano;641 643 2764 2878;
communication;DE;Kommunikation- | Verbindungstyp;650 2662;
communication;HR;Veza | komunikacijska;650 2662;
communication;SL;Povezava | komunikacijska;650 2662;
communication/computer;SL;komunikacijski/računalniška | komunikacijski/računalniški;651 2317;
constant voltage;DE;Konstantspannung | ständige Spannung;663 1448;
constant voltage;HR;konstantni napon | stalni napon;663 1448;
constant voltage;SL;konstantna napetost | stalnonapetostni;663 1448;
cream;SL;krem | kremna;695 2328;
dark grey;DE;dunkelgrauer | dunkelgraues;1560 1562;
dark grey;HR;tamno siv | tamno sivo;1560 1562;
dark grey;SL;temno siv | temno sivo;1560 1562;
deep matt;DE;deep matt | tiefmatt;359 496;
deep matt;HR;deep matt | duboki mat;359 496;
deep matt;SL;deep mat | globoko mat;359 496;
digital;HR;digitalne | digitalni;363 365;
digital;SL;digitalne | digitalni;363 365;
distribution box;DE;Abzweigdose | Kleinverteiler;422 519 521 599 1984;
distribution box;HR;Kabelska doza | Razvodna ormara | Razvodni ormar | doza;422 519 521 599 1984;
distribution box;SL;Doza | Kabelska razvodna doza | Razdelilna hišna omarica | Razdelilna omarica | doza;422 519 521 599 1984;
double;DE;Verbindungshalter | doppelt | doppelter Höhe | zweistellig;430 432 435 441 979;
double;HR;dvostruka | dvostruki | ruka;430 432 435 441 979;
double;SL;dvojna | dvojno | dvomestni | dvovišinski | roka;430 432 435 441 979;
double end;DE;double end | zwei-seitig;421 440;
double end;HR;double end | dvostruki;421 440;
double end;SL;double end | dvostranski;421 440;
dustproof, waterproof;HR;vodotjesen | vodotjesna;1169 1172;
dustproof, waterproof;SL;prahotesen, vodoodporen | prahotesno, vodoodporno;1169 1172;
electrical;SL;hišna | inštalacijski;520 2373;
emergency;SL;zasilna | zasilni;1899 1900;
floor;DE;Boden | Steh;1474 1547 1548 1551;
floor;HR;podna | podni | stojeća;1474 1547 1548 1551;
floor;SL;stoječa | talna | talni | talno;1474 1547 1548 1551;
for light;DE;für Lampe | für Licht;1831 1862;
for light;SL;za luč | za svetilko;1831 1862;
for window blinds;SL;žaluzijska | žaluzijsko;1931 1932;
frosted;DE;frosted | frostet;483 858 859;
frosted;HR;frosted | prozirna | prozirni;483 858 859;
frosted;SL;frosted | motno prozoren | motno prozorna;483 858 859;
furniture;DE;Möbel | Möbel-;1141 2358;
furniture;SL;pohištveni | pohištveno;1141 2358;
glass;SL;Glass | steklo;1450 2334;
gold;HR;zlatna | zlatni | zlato;1917 1918 1919;
gold;SL;zlat | zlata | zlato;1917 1918 1919;
graphite;HR;grafit | grafitna;505 506;
graphite;SL;grafit | grafitna;505 506;
green;DE;GREEN | grün;1913 1915 1916 2465;
green;HR;GREEN | zelena | zeleno;1913 1915 1916 2465;
green;SL;GREEN | zelen | zelena | zeleno;1913 1915 1916 2465;
green/blue/red/black;SL;zelen/moder/rdeč/črn | zelena/modra/rdeča/črna;1294 1914;
grey;HR;siv | siva | sivo;1419 1420 1421 1424;
grey;SL;siv | siva | sivo;1419 1420 1421 1424;
half-milky white;HR;pola mliječno bijela | pola mliječno bijeli;1151 1152;
half-milky white;SL;polmlečno bel | polmlečno bela;1151 1152;
heat-schrink;SL;termoskrčna | termoskrčni;1568 1569;
horizontal;HR;ležeći | vodoravna | vodoravni;528 529 763;
horizontal;SL;horizontalna | horizontalni | ležeči;528 529 763;
included;DE;Inklusive | inklusiv;1221 1222 2385;
included;HR;Upaljeno | uključena | uključeno;1221 1222 2385;
included;SL;Vključeno | priložena | priloženo;1221 1222 2385;
insulated;SL;izoliran | izolirana;578 579;
interchangeable;HR;zamjenjiv | zamjenjivi;1890 1891 2865;
interchangeable;SL;zamenljiva | zamenljivi | zamenljivo;1890 1891 2865;
intermediate-cord;SL;vmesno-vrvično | vmesno-vrvično, dvopolno;2022 2322;
laser;DE;Laser- | laser;709 710;
laser;HR;laser | laserski;709 710;
laser;SL;laser | laserski;709 710;
light;DE;Leuchte | Licht;776 1505;
light;HR;lampa | svjetla;776 1505;
light;SL;luč | svetilka;776 1505;
light grey;HR;svijetlo siva | svijetlo sivo;1506 1507;
light grey;SL;svetlo siva | svetlo sivo;1506 1507;
line;DE;Linien- | linien;764 768;
line;HR;linijska | linijski;764 768;
line;SL;linijska | linijski;764 768;
mat-microprismatic;HR;mat-mikroprizmatičan | mat-mikroprizmatična;795 796;
mat-microprismatic;SL;mat-mikroprizmatičen | mat-mikroprizmatična;795 796;
melodies;SL;Melodije | melodiji;426 812;
metal;SL;kovina | kovinski | kovinsko;685 693 2475;
metal chromed or painted;SL;kovina kromirana ali barvana | kovina kromirano ali barvana;2099 2103;
metric;HR;metrička | metričke;830 831;
metric;SL;metrična | metrične;830 831;
milky transparent;HR;mliječno transparentan | mliječno transparentna;844 845;
milky transparent;SL;mlečno prozoren | mlečno prozorna;844 845;
milky white;HR;mliječno bijela | mliječno bijeli;842 843;
milky white;SL;mlečno bel | mlečno bela;842 843;
modular;DE;modular | montierbar;1379 2472;
modular;HR;modularni | sastaviv;1379 2472;
modular;SL;modularni | sestavljivo;1379 2472;
multicolour;SL;multicolour | večbarvna;2062 2847;
natural;DE;Natural | Naturliche farbe;125 126 917;
natural;HR;naravna | prirodna boja | prirodne boje;125 126 917;
natural;SL;naravna | naravna barva | naravne barve;125 126 917;
not included;HR;nije uključen | nije uključena | nisu uključeni;956 957 958;
not included;SL;ni priložen | ni priložena | ni vključen;956 957 958;
one-component;DE;Einkomponenten | eins-komponent;2587 2628;
one-component;HR;jednokomponentan | jednokomponentni;2587 2628;
one-component;SL;enokomponenten | enokomponentni;2587 2628;
optic;HR;Optički | optička;1040 1044;
optic;SL;Optika | optična;1040 1044;
orange;SL;oranžen | oranžna;1046 2130;
outdoor;DE;außen | für Außen;1921 1923 1926;
outdoor;HR;vanjska | vanjske | vanjski;1921 1923 1926;
outdoor;SL;zunanja | zunanje | zunanji;1921 1923 1926;
painted steel;SL;Painted steel | barvano jeklo;246 2333;
panel;DE;Panel | Platte;1066 2886;
panel;HR;panel | panelna;1066 2886;
